Reaction Date,Reaction Type,Parent Type,Parent ID
"Feb 23, 2025, 8:35:59 PM",Like,Comment,2050274351
"Feb 26, 2025, 5:10:52 PM",Like,Comment,2053532087
"Jun 4, 2025, 12:45:20 PM",Like,Comment,2156830209
"Jul 7, 2025, 9:47:43 PM",Like,Comment,2203391803
"Jul 29, 2025, 12:47:25 PM",Like,Comment,2226005932
"Sep 28, 2025, 5:17:38 PM",Like,Comment,2291588726
"Sep 28, 2025, 5:17:38 PM",Like,Comment,2291584634
"Sep 30, 2025, 3:12:31 PM",Like,Comment,2292554141
"Sep 30, 2025, 3:12:30 PM",Like,Comment,2291668963
"Oct 4, 2025, 7:30:17 PM",Like,Comment,2296314590
